"Private","Machine-op-inspct","Black","Male","United-States","<=50K"
"Private","Farming-fishing","White","Male","United-States","<=50K"
"Local-gov","Protective-serv","White","Male","United-States",">50K"
"Private","Machine-op-inspct","Black","Male","United-States",">50K"
"Private","Other-service","White","Male","United-States","<=50K"
"Self-emp-not-inc","Prof-specialty","White","Male","United-States",">50K"
"Private","Other-service","White","Female","United-States","<=50K"
"Private","Craft-repair","White","Male","United-States","<=50K"
"Private","Machine-op-inspct","White","Male","United-States",">50K"
"Federal-gov","Adm-clerical","White","Male","United-States","<=50K"
"Private","Adm-clerical","White","Female","United-States","<=50K"
"Private","Machine-op-inspct","White","Male","United-States",">50K"
"Private","Exec-managerial","White","Male","United-States",">50K"
"State-gov","Other-service","White","Male","United-States","<=50K"
"Private","Adm-clerical","White","Female","United-States","<=50K"
"Private","Machine-op-inspct","White","Female","United-States","<=50K"
"Private","Tech-support","White","Male","United-States",">50K"
"Private","Other-service","Black","Female","United-States","<=50K"
"Private","Prof-specialty","White","Male","Peru","<=50K"
"Private","Prof-specialty","White","Male","United-States","<=50K"
"Self-emp-not-inc","Craft-repair","White","Male","United-States",">50K"
"Private","Adm-clerical","White","Male","United-States","<=50K"
"Private","Machine-op-inspct","Black","Male","United-States","<=50K"
"Private","Craft-repair","White","Male","United-States","<=50K"
"Self-emp-not-inc","Prof-specialty","White","Male","United-States","<=50K"
"State-gov","Exec-managerial","Black","Male","United-States",">50K"
"Self-emp-not-inc","Other-service","White","Female","United-States","<=50K"
"Self-emp-not-inc","Sales","White","Male","United-States","<=50K"
"Local-gov","Protective-serv","White","Male","United-States","<=50K"
"Private","Exec-managerial","White","Female","United-States","<=50K"
"Local-gov","Prof-specialty","White","Male","United-States",">50K"
"Private","Priv-house-serv","White","Male","Guatemala","<=50K"
"Private","Machine-op-inspct","White","Male","United-States","<=50K"
"Private","Craft-repair","White","Male","United-States","<=50K"
"Private","Prof-specialty","White","Male","United-States",">50K"
"Self-emp-inc","Sales","White","Male","United-States",">50K"
"Private","Farming-fishing","White","Male","United-States","<=50K"
"Private","Other-service","White","Male","United-States","<=50K"
"State-gov","Farming-fishing","White","Male","United-States","<=50K"
"Private","Prof-specialty","White","Female","United-States",">50K"
"Private","Craft-repair","White","Male","Mexico","<=50K"
"Private","Transport-moving","White","Male","United-States","<=50K"
"Private","Priv-house-serv","Black","Female","United-States","<=50K"
"Self-emp-inc","Exec-managerial","White","Female","United-States","<=50K"
"Private","Other-service","White","Male","United-States","<=50K"
"Private","Handlers-cleaners","Black","Male","United-States","<=50K"
"Private","Other-service","White","Female","United-States","<=50K"
"Private","Other-service","White","Male","United-States",">50K"
"Private","Exec-managerial","White","Male","Mexico","<=50K"
"Private","Adm-clerical","White","Female","United-States","<=50K"
"Private","Craft-repair","White","Male","United-States","<=50K"
"Local-gov","Exec-managerial","White","Male","United-States",">50K"
"Self-emp-inc","Exec-managerial","White","Male","United-States",">50K"
"Private","Handlers-cleaners","White","Male","United-States","<=50K"
"Private","Exec-managerial","White","Female","United-States","<=50K"
"Private","Sales","White","Male","United-States","<=50K"
"Private","Exec-managerial","White","Female","United-States","<=50K"
"Private","Machine-op-inspct","White","Female","United-States","<=50K"
"Local-gov","Adm-clerical","White","Female","United-States","<=50K"
"Self-emp-inc","Craft-repair","White","Male","United-States",">50K"
"Private","Other-service","White","Male","United-States","<=50K"
"Private","Transport-moving","White","Male","United-States","<=50K"
"Private","Sales","White","Male","United-States","<=50K"
"Private","Exec-managerial","White","Male","United-States",">50K"
"Private","Tech-support","White","Male","United-States","<=50K"
"Private","Machine-op-inspct","White","Male","Mexico","<=50K"
"Private","Handlers-cleaners","White","Female","United-States","<=50K"
"Private","Craft-repair","Other","Male","Dominican-Republic","<=50K"
"Private","Machine-op-inspct","White","Male","United-States","<=50K"
"Self-emp-inc","Sales","White","Male","United-States","<=50K"
"Private","Transport-moving","White","Male","United-States","<=50K"
"Private","Adm-clerical","White","Female","United-States","<=50K"
"Self-emp-inc","Machine-op-inspct","White","Male","United-States","<=50K"
"Private","Exec-managerial","White","Male","United-States","<=50K"
"Private","Other-service","White","Male","United-States","<=50K"
"Self-emp-not-inc","Craft-repair","White","Male","United-States","<=50K"
"Private","Machine-op-inspct","White","Female","United-States","<=50K"
"Federal-gov","Other-service","White","Female","United-States","<=50K"
"Private","Sales","White","Male","United-States",">50K"
"Federal-gov","Armed-Forces","White","Male","United-States","<=50K"
"Private","Exec-managerial","White","Female","United-States","<=50K"
"Federal-gov","Other-service","Black","Male","United-States","<=50K"
"Private","Prof-specialty","White","Female","United-States",">50K"
"Federal-gov","Adm-clerical","White","Male","United-States","<=50K"
"Private","Other-service","Amer-Indian-Eskimo","Male","United-States","<=50K"
"Private","Handlers-cleaners","White","Male","United-States","<=50K"
"Private","Exec-managerial","White","Female","United-States","<=50K"
"Private","Farming-fishing","White","Male","United-States","<=50K"
"Private","Transport-moving","White","Male","United-States",">50K"
"Private","Adm-clerical","White","Female","United-States","<=50K"
"Private","Adm-clerical","Black","Female","United-States","<=50K"
"Private","Transport-moving","Black","Male","United-States","<=50K"
"Self-emp-not-inc","Other-service","White","Female","United-States","<=50K"
"Local-gov","Adm-clerical","White","Female","United-States","<=50K"
"Private","Machine-op-inspct","White","Female","United-States","<=50K"
"Local-gov","Protective-serv","White","Male","United-States","<=50K"
"Private","Transport-moving","White","Male","United-States","<=50K"
"Private","Handlers-cleaners","Black","Male","United-States","<=50K"
"Private","Other-service","White","Female","United-States","<=50K"
"Private","Machine-op-inspct","White","Female","United-States","<=50K"
"Private","Craft-repair","White","Male","United-States","<=50K"
"Private","Exec-managerial","White","Male","United-States",">50K"
"Private","Handlers-cleaners","White","Male","United-States","<=50K"
"Private","Handlers-cleaners","White","Male","United-States","<=50K"
"Private","Craft-repair","White","Male","United-States","<=50K"
"Private","Other-service","White","Female","United-States","<=50K"
"Private","Adm-clerical","White","Female","United-States","<=50K"
"Private","Sales","White","Female","United-States",">50K"
"Local-gov","Prof-specialty","White","Female","United-States","<=50K"
"Private","Sales","White","Female","United-States","<=50K"
"Private","Protective-serv","White","Male","United-States","<=50K"
"Private","Tech-support","White","Female","United-States","<=50K"
"Private","Handlers-cleaners","White","Female","United-States","<=50K"
"Private","Adm-clerical","White","Female","United-States","<=50K"
"Federal-gov","Prof-specialty","White","Female","United-States",">50K"
"Private","Prof-specialty","White","Male","United-States","<=50K"
"Self-emp-not-inc","Craft-repair","White","Male","Ireland",">50K"
"Private","Prof-specialty","White","Male","United-States",">50K"
"Private","Adm-clerical","White","Male","United-States","<=50K"
"Private","Craft-repair","Black","Female","United-States","<=50K"
"Self-emp-inc","Prof-specialty","White","Male","United-States",">50K"
"Private","Craft-repair","Black","Male","United-States","<=50K"
"Private","Prof-specialty","White","Female","United-States","<=50K"
"Private","Sales","White","Male","United-States",">50K"
"Private","Machine-op-inspct","Black","Male","United-States","<=50K"
"Private","Machine-op-inspct","White","Female","United-States","<=50K"
"Private","Farming-fishing","White","Male","United-States","<=50K"
"Private","Prof-specialty","White","Male","United-States","<=50K"
"Private","Adm-clerical","Asian-Pac-Islander","Female","Germany","<=50K"
"Private","Exec-managerial","White","Male","United-States",">50K"
"Self-emp-inc","Exec-managerial","White","Male","United-States",">50K"
"Private","Prof-specialty","White","Female","United-States","<=50K"
"Self-emp-not-inc","Exec-managerial","White","Female","United-States","<=50K"
"Private","Exec-managerial","White","Female","United-States","<=50K"
"Private","Sales","White","Male","United-States",">50K"
"Private","Exec-managerial","White","Male","United-States",">50K"
"Private","Sales","White","Male","United-States","<=50K"
"Private","Other-service","Black","Male","United-States","<=50K"
"Private","Other-service","Black","Female","United-States","<=50K"
"Private","Machine-op-inspct","White","Male","United-States","<=50K"
"Private","Craft-repair","White","Male","United-States","<=50K"
"State-gov","Adm-clerical","White","Male","United-States",">50K"
"Private","Adm-clerical","White","Female","United-States","<=50K"
"Local-gov","Craft-repair","White","Male","United-States","<=50K"
